                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.0661,                 1.2751,                 1.4742,                0.89746,                0.89768,                0.93596,                0.70594,                0.85943,                0.67436,                 1.3247,               0.004951,               0.004951,               0.004951
                     53,                 1.0495,                 1.2664,                 1.4622,                0.92035,                0.89103,                0.93206,                0.68607,                0.88953,                0.68368,                 1.3509,               0.004852,               0.004852,               0.004852
                     54,                 1.0506,                 1.2495,                 1.4613,                 0.8617,                0.87869,                0.92141,                0.71364,                0.86899,                0.67392,                 1.3195,               0.004753,               0.004753,               0.004753
                     55,                 1.0462,                 1.2267,                 1.4527,                0.91061,                0.89103,                 0.9335,                0.71589,                0.88437,                0.65904,                 1.3299,               0.004654,               0.004654,               0.004654
                     56,                 1.0465,                 1.2292,                 1.4575,                0.90425,                0.87179,                0.92096,                0.70752,                0.86996,                0.64768,                 1.3179,               0.004555,               0.004555,               0.004555
                     57,                 1.0453,                 1.2243,                 1.4579,                0.92639,                0.89744,                0.93997,                0.73382,                0.85213,                0.61693,                 1.2994,               0.004456,               0.004456,               0.004456
                     58,                 1.0331,                 1.2151,                 1.4412,                0.93944,                0.87821,                0.94541,                0.73498,                0.84899,                0.63488,                 1.2944,               0.004357,               0.004357,               0.004357
                     59,                 1.0361,                 1.2201,                 1.4443,                0.94239,                0.87821,                0.93617,                 0.7255,                0.84013,                0.64135,                  1.305,               0.004258,               0.004258,               0.004258
                     60,                 1.0231,                  1.208,                 1.4336,                0.97299,                0.87821,                   0.95,                0.72807,                0.81264,                0.61171,                 1.2767,               0.004159,               0.004159,               0.004159
                     61,                 1.0206,                 1.1911,                 1.4295,                0.90114,                0.92308,                0.93521,                0.72346,                0.85666,                0.60416,                 1.3098,                0.00406,                0.00406,                0.00406
                     62,                 1.0071,                 1.1806,                  1.429,                0.92004,                0.88462,                0.94845,                0.71896,                0.84967,                0.60688,                 1.3008,               0.003961,               0.003961,               0.003961
                     63,                  1.015,                 1.1851,                 1.4291,                0.94028,                0.90842,                 0.9518,                0.71464,                0.84897,                0.60368,                 1.3209,               0.003862,               0.003862,               0.003862
                     64,                 1.0103,                 1.1625,                 1.4251,                0.93339,                0.91667,                0.95066,                0.72385,                0.85588,                0.59273,                  1.314,               0.003763,               0.003763,               0.003763
                     65,                 1.0039,                 1.1707,                 1.4228,                0.93664,                0.89744,                0.94458,                 0.7241,                0.83587,                0.61883,                 1.2905,               0.003664,               0.003664,               0.003664
                     66,                0.98994,                 1.1502,                 1.4105,                0.92171,                0.90562,                0.95131,                0.71962,                0.83911,                0.59576,                 1.2972,               0.003565,               0.003565,               0.003565
                     67,                0.99409,                 1.1519,                 1.4123,                0.94187,                0.90385,                0.95455,                0.72288,                0.83908,                0.57895,                 1.2881,               0.003466,               0.003466,               0.003466
                     68,                0.99991,                 1.1616,                  1.419,                0.92589,                0.90385,                0.94155,                 0.7311,                0.84499,                0.57562,                 1.2792,               0.003367,               0.003367,               0.003367
